,ws,bs,cost
180,80.0,80.0,146078.75393939397
181,81.0,81.0,150484.04272727275
182,82.0,82.0,154954.88242424242
183,83.0,83.0,159491.273030303
184,84.0,84.0,164093.21454545457
185,85.0,85.0,168760.70696969697
186,86.0,86.0,173493.7503030303
187,87.0,87.0,178292.34454545454
188,88.0,88.0,183156.48969696971
189,89.0,89.0,188086.18575757576
190,90.0,90.0,193081.4327272727
191,91.0,91.0,198142.23060606062
192,92.0,92.0,203268.57939393944
193,93.0,93.0,208460.4790909091
194,94.0,94.0,213717.9296969697
195,95.0,95.0,219040.9312121212
196,96.0,96.0,224429.48363636364
197,97.0,97.0,229883.586969697
198,98.0,98.0,235403.24121212118
199,99.0,99.0,240988.44636363635
200,,,246639.20242424245
